Cluster 1/55 connectivity between C_ROI_SFG_l and C_ROI_MidFG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_SFG_l and C_ROI_PreCG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_r and C_ROI_MidFG_l at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_l and C_ROI_MidFG_l at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_l and C_ROI_MidFG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_SFG_r and C_ROI_MidFG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_l and C_ROI_aSMG_l at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_l and C_ROI_PreCG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_r and C_ROI_aSMG_l at Go_dual,Cluster 1/55 connectivity between C_ROI_FP_l and C_ROI_PreCG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_r and C_ROI_IFGoper_l at Go_dual,Cluster 1/55 connectivity between C_ROI_SFG_r and C_ROI_PreCG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_SFG_r and C_ROI_MidFG_l at Go_dual,Cluster 1/55 connectivity between C_ROI_SFG_l and C_ROI_aSMG_l at Go_dual,Cluster 2/55 connectivity between C_ROI_SFG_l and C_ROI_FP_l at Go_dual,Cluster 2/55 connectivity between C_ROI_PaCiG_r and C_ROI_FP_l at Go_dual,Cluster 2/55 connectivity between C_ROI_PaCiG_r and C_ROI_SFG_l at Go_dual,Cluster 2/55 connectivity between C_ROI_SMA_r and C_ROI_SFG_r at Go_dual,Cluster 2/55 connectivity between C_ROI_PaCiG_r and C_ROI_SFG_r at Go_dual,Cluster 2/55 connectivity between C_ROI_SMA_r and C_ROI_SFG_l at Go_dual,Cluster 2/55 connectivity between C_ROI_SMA_r and C_ROI_FP_l at Go_dual,Cluster 2/55 connectivity between C_ROI_PaCiG_l and C_ROI_SFG_r at Go_dual,Cluster 2/55 connectivity between C_ROI_SFG_r and C_ROI_FP_l at Go_dual
0.573041,0.339265,0.442759,0.407658,0.324670,0.646435,0.293214,0.194190,0.180937,-0.038032,0.848264,0.355285,0.248660,0.373767,0.310857,-0.052786,0.086259,0.896006,0.222416,0.726712,0.076325,0.154295,0.392667
0.539925,0.999637,0.800730,0.854913,0.895601,0.648377,0.408767,0.970399,0.420415,0.277187,0.386803,1.060826,0.533106,0.343558,0.301892,0.608399,0.537770,1.066812,0.681696,1.101864,0.152697,0.872417,0.311594
0.568900,0.332925,0.326625,0.599075,0.389037,0.566490,0.692316,0.305021,0.390378,-0.092526,0.192783,0.049661,0.164260,0.601091,-0.168290,0.016598,0.561280,0.331314,0.248315,0.289064,0.273045,0.305229,0.336491
0.802854,0.584523,0.252138,0.532441,0.519480,1.205693,0.478782,0.599704,0.178926,0.574518,0.280011,0.956370,0.578976,0.553788,0.789899,0.085556,0.064679,0.941036,0.274006,0.648756,0.292667,0.661921,0.694072
0.344161,0.412182,0.603836,0.987559,0.748494,0.621454,0.829704,0.589749,0.595285,0.903939,0.432254,0.522424,0.733955,0.560700,0.393489,0.750405,0.245741,0.567621,0.420156,0.305092,0.826851,0.604323,0.657992
0.088507,-0.076554,-0.296256,-0.058283,0.070671,0.488492,0.067319,0.020166,-0.163401,0.260875,-0.241082,0.370596,0.122091,0.131511,-0.427842,-0.163215,0.105700,0.685958,0.003483,0.612731,-0.261904,-0.106844,-0.128244
0.421305,0.784033,0.656420,0.671855,0.733199,1.224178,0.448906,0.671879,0.512778,0.526253,0.376993,1.045647,1.059456,0.569049,0.620326,0.509110,0.486818,0.889532,0.742278,0.974383,0.539815,0.540441,0.792246
0.647782,0.558786,0.160751,0.171548,0.066862,0.837211,0.278542,0.380135,0.378846,0.366564,-0.063771,0.461015,0.569968,0.531142,0.206465,0.349801,0.257006,0.340902,0.272199,0.252527,-0.200676,0.266465,0.494049
0.348192,0.278741,0.433928,0.377578,0.268976,0.595389,0.492896,0.132375,0.587250,0.002360,0.326868,0.480879,0.547308,0.283739,0.277702,0.262009,0.193924,0.734510,0.147478,0.787077,0.057746,-0.066558,0.301178
0.574149,0.515322,0.973466,1.127661,0.293470,0.567389,0.329041,0.218950,0.331509,0.266595,0.327469,0.453857,0.632446,0.708148,0.507138,0.405292,0.629861,0.484996,0.606391,0.681504,0.465459,0.592296,0.792697
0.512042,0.368107,0.392421,0.327728,0.425169,1.042012,0.088886,0.503802,0.448667,0.308701,0.025746,0.433605,1.038998,0.539921,0.881968,0.269008,0.502294,0.906938,0.509824,1.043728,1.103972,0.377332,0.807013
0.371205,0.228556,0.420770,0.582920,0.226411,0.866746,0.294376,0.246544,0.162115,0.198264,0.345133,0.115942,0.615841,0.070044,0.218510,0.266336,-0.103253,0.082912,0.115227,0.009425,0.356377,0.083060,0.025944
