"SubjectID,""MotorS_RT_mean"",""MotorS_RT_median"",""MotorS_RT_Std"",""MotorS_Missing"",""MotorDual_RT_mean"",""MotorDual_RT_median"",""MotorDual_RT_Std"",""MotorDual_Missing"",""Dual.task.cost_RT_mean.x"",""Dual.task.cost_RT_median.x"",""Dual.task.cost_Std.x"",""CogS_RT_mean"",""Cog_RT_median"",""Cog_RT_Std"",""Cog_RT_Error"",""CogDual_RT_mean"",""CogDual_RT_median"",""CogDual_RT_Std"",""CogDual_RT_Error"",""Dual.task.cost_RT_mean.y"",""Dual.task.cost_RT_median.y"",""Dual.task.cost_Std.y"""
sub-12,0.32429375,0.314099999999939,0.16156608347344,0,0.52388736842105,0.489000000000033,0.198147438788194,1.04166666666666,61.54716778262,55.6829035339468,22.6417293334764,0.506314630795277,0.494900833333334,0.0839625843205927,0,0.607377673549433,0.593172881355932,0.120678336389255,0,21.2519107217507,21.114924854669,50.6528762222217
sub-13,0.367741666666665,0.365499999999997,0.0858639286639845,0,0.406737499999989,0.391549999999938,0.0972918336487499,0,10.6041378685192,7.12722298220007,13.3093199467809,0.484430379746837,0.482700000000023,0.057197873715258,0,0.577724050632908,0.571000000000026,0.104357552544725,0,19.2584269662909,18.2929355707478,82.4500558608814
sub-15,0.192440625,0.20205,0.13469762439051,0,0.409646315789478,0.379199999999969,0.188063842606331,1.04166666666666,112.868938556751,87.6763177431176,39.6192720230195,0.662476056338032,0.641800000000046,0.0982147057141154,0.04,0.659177049180335,0.624699999999962,0.167374953715155,0.147058823529412,-0.49798134228927,-2.66438142724887,70.417405925292
sub-16,0.280609374999999,0.262200000000007,0.0901556608003171,0,0.528370588235301,0.48090000000002,0.465954258643987,11.4583333333333,88.2939899051138,83.4096109839842,416.833057966282,0.483408000000002,0.463799999999992,0.0856929098584025,0,0.660817187499998,0.651650000000075,0.216810731265693,0.130434782608696,36.6996796701741,40.5023717119633,153.008949776531
sub-17,0.285470833333332,0.29010000000001,0.094797381616814,0,0.498304166666664,0.487799999999936,0.151208019779422,0,74.5551939048061,68.1489141675008,59.5065361516299,0.506314630795277,0.494900833333334,0.0839625843205927,0,0.607377673549433,0.593172881355932,0.120678336389255,0,21.2519107217507,21.114924854669,50.6528762222217
sub-18,0.371389583333337,0.339700000000022,0.147515521024002,0,0.671938235294117,0.641849999999977,0.139082709237276,29.1666666666667,80.9254393360368,88.9461289372786,-5.71655899541173,0.506314630795277,0.494900833333334,0.0839625843205927,0,0.607377673549433,0.593172881355932,0.120678336389255,0,21.2519107217507,21.114924854669,50.6528762222217
sub-19,0.408036458333333,0.389650000000003,0.0715842324887853,0,0.539120833333333,0.526949999999999,0.111479730436726,0,32.1256525790436,35.2367509303208,55.7322423680252,0.623766666666668,0.641799999999989,0.122597355871433,0.037037037037037,0.591047826086961,0.555200000000013,0.158137124607186,0,-5.24536534703796,-13.4933000934835,28.9890173267876
sub-20,0.318903692738791,0.313883333333334,0.109572946781262,0.0661375661375657,0.469411100643794,0.457369047619047,0.148348391323362,3.05886243386243,49.1850599672272,46.7667426171058,39.0652900597912,0.475308695652173,0.4556,0.0850968872367921,0.0740740740740741,0.555924324324322,0.560500000000047,0.0783811949959279,0.0454545454545455,16.960688792267,23.0245829675256,-7.89181891245566
sub-21,0.337153125000001,0.338199999999986,0.100666497801428,0,0.460947368421055,0.463599999999929,0.139154215570664,1.04166666666666,36.7175132726573,37.0786516853777,38.2328963556039,0.45806973684211,0.453800000000001,0.0469646250412264,0,0.763585714285705,0.78064999999998,0.166174240915022,0.125,66.6963898444358,72.0251211987612,253.828526830888
sub-22,0.427084374999996,0.390299999999996,0.146481876966419,0,0.632932631578941,0.612300000000005,0.142694895048099,1.04166666666666,48.198498617269,56.8793235972356,-2.58529041049098,0.510324242424243,0.491049999999998,0.132371283268058,0.1,0.795064788732387,0.790099999999939,0.144656295205059,0.0869565217391304,55.7960062715251,60.9001120048757,9.28072285294967
